sku,product_name,category,retail_price,stock_qty,enabled,stock_level,unit_of_measure,permissions,supplier_id,supplier_name
SKU036,USB-C Adapter Hub,Electronics,34.99,88,true,in_stock,piece,"view, edit",SUP01,Tech Distributors
SKU037,Task Chair Basic,Furniture,89.00,48,false,discontinued,piece,view,SUP02,Furniture World
SKU038,Whiteboard Eraser,Stationery,4.25,550,true,in_stock,piece,view,SUP04,Paper & Pens Ltd
SKU039,Energy Drink 24pk,Food,29.99,75,true,in_stock,pack,"view, edit",SUP03,Healthy Foods Co
SKU040,Laptop Cooling Pad,Electronics,28.50,92,true,in_stock,piece,"view, edit, delete",SUP01,Tech Distributors
SKU041,Storage Cabinet Metal,Furniture,225.00,14,true,in_stock,piece,"view, edit",SUP02,Furniture World
SKU042,Permanent Markers 12pk,Stationery,11.99,410,true,in_stock,pack,view,SUP04,Paper & Pens Ltd
SKU043,Coconut Water 1L,Food,5.50,190,true,in_stock,btl,"view, edit",SUP03,Healthy Foods Co
SKU044,Bluetooth Headphones,Electronics,75.00,68,true,in_stock,piece,"view, edit, delete",SUP01,Tech Distributors
SKU045,Visitor Chair Set,Furniture,159.00,20,true,in_stock,set,"view, edit",SUP02,Furniture World
SKU046,Tape Dispenser Heavy,Stationery,9.50,285,true,in_stock,piece,view,SUP04,Paper & Pens Ltd
SKU047,Peanut Butter Organic,Food,12.25,155,true,in_stock,jar,"view, edit, delete",SUP03,Healthy Foods Co
SKU048,Graphics Tablet,Electronics,199.00,32,true,in_stock,piece,"view, edit, delete",SUP01,Tech Distributors
SKU049,Corner Desk L-Shape,Furniture,349.00,9,true,low_stock,piece,"view, edit",SUP02,Furniture World
SKU050,Calculator Scientific,Stationery,18.99,225,true,in_stock,piece,view,SUP04,Paper & Pens Ltd
